name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status
ILT4	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
MLT1	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
MLT2	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
MLT3	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
MLT4	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
SLT1	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
SLT2	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
SLT3	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
SLT4	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
EKG1	ECG	n/a	0.0	500.0	ElectroCardioGram	1000.0	good
EKG2	ECG	n/a	0.0	500.0	ElectroCardioGram	1000.0	good
N/A	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	bad
