name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status
ATT5	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
ATT6	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
$G11	ECOG	V	0.0	500.0	Electrocorticography	1000.0	bad
$G12	ECOG	V	0.0	500.0	Electrocorticography	1000.0	bad
ATT7	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
ATT8	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
PLT1	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
PLT2	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
PLT3	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
PLT4	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
PLT5	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
PLT6	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
AST1	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
AST2	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
AST3	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
AST4	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
PST1	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
PST2	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
PST3	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
PST4	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
AD1	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
AD2	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
AD3	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
AD4	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
PD1	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
PD2	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
PD3	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
PD4	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
RQ1	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
RQ2	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
SF1	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
SF2	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
SF3	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
SF4	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
SF5	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
SF6	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
IF1	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
IF2	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
IF3	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
IF4	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
IF5	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
IF6	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
ILT1	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
ILT2	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
ILT3	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
ILT4	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
MLT1	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
MLT2	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
MLT3	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
MLT4	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
SLT1	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
SLT2	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
SLT3	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
SLT4	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
EKG1	ECG	V	0.0	500.0	ElectroCardioGram	1000.0	good
EKG2	ECG	V	0.0	500.0	ElectroCardioGram	1000.0	good
N/A	ECOG	V	0.0	500.0	Electrocorticography	1000.0	bad
