name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status
G31	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
G32	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
ATT1	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
ATT2	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
ATT3	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
ATT4	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
DC01	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	bad
DC09	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	bad
DC10	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	bad
DC11	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	bad
DC12	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	bad
ATT5	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
ATT6	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
$G11	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	bad
$G12	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	bad
ATT7	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
ATT8	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
PLT1	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
PLT2	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
PLT3	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
PLT4	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
PLT5	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
PLT6	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
AST1	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
AST2	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
AST3	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
AST4	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
PST1	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
PST2	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
PST3	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
PST4	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
AD1	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
AD2	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
AD3	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
AD4	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
PD1	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
PD2	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
PD3	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
PD4	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
RQ1	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
RQ2	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
SF1	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
SF2	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
SF3	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
SF4	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
SF5	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
SF6	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
IF1	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
IF2	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
IF3	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
IF4	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
IF5	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
IF6	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
ILT1	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
ILT2	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
ILT3	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
ILT4	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
MLT1	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
MLT2	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
MLT3	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
MLT4	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
SLT1	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
SLT2	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
SLT3	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
SLT4	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
EKG1	ECG	n/a	0.0	500.0	ElectroCardioGram	1000.0	good
EKG2	ECG	n/a	0.0	500.0	ElectroCardioGram	1000.0	good
N/A	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	bad
